BR,DEALNO,SEQ,FIXINCIND,AETRAD,ASSIGNIND,BVAMORTAMT,BVINTAMT,BRPRCINDTE,BROK,BROKFEEAMT,BROKFEECCY,CHARGEAMT,CLEARDATE,CLEARINPUTDATE,CLEAROPER,COMMAMT,COMMRATE_8,COMREFNO,CONFDATE,CONFOPER,COST,COUPONNO,CCYAUTHDATE,CCYAUTHIND,CCYAUTHOPER,CCY,CNO,CUSTCONFDATE,CUSTREFNO,DEALDATE,DEALSRCE,DEALTEXT,DEALTIME,DISCAMT,DISCRATE_8,DISPRICE_8,FACEAMT,FAILDATE,FAILINPUTDATE,FAILOPER,FAILINTAMT,FEEAMT,GAINAMT,INPUTDATE,IOPER,INPUTTIME,INVTYPE,LINKORDERNO,LINKSEQ,LOSSAMT,MUTFUNDIND,ORIGAMT,ORIGQTY,PORT,PREMAMT,PRICE_8,PRINAMT,PRINAGIND,PROCEEDAMT,PRODUCT,PRODTYPE,PS,PURCHINTAMT,QTY,REVDATE,REVOPER,REVREASON,REVTEXT,REVTIME,SECSACCT,SECAUTHDATE,SECAUTHIND,SECAUTHOPER,SECID,SERIES,CCYSACCT,SETTDATE,CCYSMEANS,SPREADRATE_8,SUPPCONFIND,SYMBOLID,VATAMT,TRAD,VERIND,VERDATE,VOPER,WHENISSIND,YIELD_8,EXCHCNO,EXCHCOMMAMT,EXCHCCY,CNARR,FROMDAYS,TODAYS,DELAYDELIVIND,ISSUER,RATCNO,CRATING,RATECODE,AGENCY,WHTAMT,EXCHIND,OFFASSAMT,ESTAMT,ASSIGNEDQTY,CONVINTAMT,CONVINTBAMT,SETTAMT,SETTBASEAMT,COSTAMT,COSTBAMT,INTCCY,SETTCCY,SETTPROCEXCHRATE_8,SETTPROCTERMS,SETTPROCPREMDISC_8,INTSETTEXCHRATE_8,INTSETTTERMS,INTSETTPREMDISC_8,SETTBASEEXCHRATE_8,SETTBASETERMS,SETTBASEPREMDISC_8,INTBASEEXCHRATE_8,INTBASETERMS,INTBASEPREMDISC_8,AMENDDATE,AMENDTIME,AMENDOPER,FEDEALNO,INTERNALYIELD_8,INTERNALDISCRATE_8,INTERNALPRICE_8,INTERNALPROCEEDAMT,INTERNALSPREADRATE_8,MARKUPCOMMAMT,AMORTYIELD_8,AMORTIND,PLEDGEID,PAIREDFACEAMT,PAIREDAMT,PAIREDIND,CURRSPLITSEQ,UPDATECOUNTER,BTBDEALNO,BTBPORT,USUALID,LINKDEALNO,LINKIND,BLOCKIND,SPLITIND,INDEXRATIO_8,SWIFTBOTHIND,NEWISSUEIND,CCPIND,EXTCOMPARE,NOVFACEAMT,PAYMENTHOLDIND,CONVIND,EXTBSKTID,EXTCONVID,SRIND,EXCISEAMT,INTRADAY,CONTYPE,DWH_ENTRY_DATE
1,ID532,0,1,    ,1,0,0,21/11/2025,           ,0,GBP,0,,,    ,0,0,                ,,    ,1000000000,       ,21/11/2025,1,HOGU,GBP,ID00320,,                ,21/11/2025,D         ,                                                                      ,09:22:15,-44500,4,0,5000000,,,    ,0,0,0,21/11/2025,ELMA,09:22:15,H,        ,    ,0, ,0,5000000,BCAP,0,99,-5000000,P,-4955500,SECUR ,TB,P,0,5000000,,    ,  ,                                                                      ,        ,887123,21/11/2025,1,HOGU,GB00XXXXXX08,,BNYGBP         ,24/11/2025,NOS    ,0,2,        ,0,ELMA,1,21/11/2025,GUNA, ,4,           ,0,   ,CRSTGB22XXX                                                           ,    ,    ,N,           ,           ,          ,       ,           ,0,N,0,0,5000000,0,0,-4955500,-4955500,-4955500,-4955500,GBP,GBP,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,3,        ,    ,               ,        , , ,0,0,1,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57
1,ID535,0,1,    ,1,0,0,28/11/2025,           ,0,GBP,0,,,    ,0,0,                ,,    ,1000000000,       ,28/11/2025,1,HOGU,GBP,ID00320,,                ,16/08/2024,D         ,                                                                      ,14:09:19,-44138,4,0,5000000,,,    ,0,0,0,28/11/2025,ELMA,14:09:20,H,        ,    ,0, ,0,5000000,BMM ,0,99,-5000000,P,-4955862,SECUR ,TB,P,0,5000000,02/12/2025,ELES,IE,                                                                      ,16:07:22,887123,28/11/2025,1,HOGU,GB00XXXXXX03,,BNYGBP         ,01/12/2025,NOS    ,0,2,        ,0,ELMA,1,28/11/2025,GUNA, ,4,           ,0,   ,CRSTGB22XXX                                                           ,    ,    ,Y,           ,           ,          ,       ,           ,0,N,0,0,5000000,0,0,-4955862,-4955862,-4955862,-4955862,GBP,GBP,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,4,        ,    ,               ,        , , ,0,0,1,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57
1,ID538,0,1,    ,1,0,0,02/12/2025,           ,0,GBP,0,,,    ,0,0,                ,,    ,1000000000,       ,02/12/2025,1,HOGU,GBP,ID00320,,                ,28/11/2025,D         ,                                                                      ,14:09:19,-44138,4,0,5000000,,,    ,0,0,0,02/12/2025,ELES,16:06:32,H,        ,    ,0, ,0,5000000,BMM ,0,99,-5000000,P,-4955862,SECUR ,TB,P,0,5000000,,    ,  ,                                                                      ,        ,887123,02/12/2025,1,HOGU,GB00XXXXXX03,,BNYGBP         ,01/12/2025,NOS    ,0,2,        ,0,ELES,1,02/12/2025,GUNA, ,4,           ,0,   ,CRSTGB22XXX                                                           ,    ,    ,N,           ,           ,          ,       ,           ,0,N,0,0,5000000,0,0,-4955862,-4955862,-4955862,-4955862,GBP,GBP,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,3,        ,    ,               ,        , , ,0,0,1,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57
1,ID547,0,1,    ,1,0,0,19/12/2025,           ,0,GBP,0,,,    ,0,0,                ,,    ,1000000000,       ,19/12/2025,1,COKE,GBP,ID00394,,                ,19/12/2025,D         ,                                                                      ,11:41:52,-80212,4,0,10000000,,,    ,0,0,0,19/12/2025,ELMA,11:41:52,H,        ,    ,0, ,0,10000000,BCAP,0,99,-10000000,P,-9919788,SECUR ,TB,P,0,10000000,,    ,  ,                                                                      ,        ,887123,19/12/2025,1,COKE,GB00XXXXXX04,,BNYGBP         ,22/12/2025,NOS    ,0,2,        ,0,ELMA,1,19/12/2025,GUNA, ,4,           ,0,   ,CRSTGB22XXX                                                           ,    ,    ,N,           ,           ,          ,       ,           ,0,N,0,0,10000000,0,0,-9919788,-9919788,-9919788,-9919788,GBP,GBP,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,4,        ,    ,               ,        , , ,0,0,0,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57
1,ID550,0,1,    ,1,0,0,22/12/2025,           ,0,GBP,0,,,    ,0,0,                ,,    ,1000000000,       ,22/12/2025,1,COKE,GBP,ID00467,,                ,22/12/2025,D         ,                                                                      ,11:11:24,-81150,4,0,40000000,,,    ,0,0,0,22/12/2025,ELMA,11:11:24,H,        ,    ,0, ,0,40000000,BCAP,0,100,-40000000,P,-39918850,SECUR ,TB,P,0,40000000,,    ,  ,                                                                      ,        ,887123,22/12/2025,1,COKE,GB00XXXXXX05,,BNYGBP         ,23/12/2025,NOS    ,0,2,        ,0,ELMA,1,22/12/2025,GUNA, ,4,           ,0,   ,CRSTGB22XXX                                                           ,    ,    ,N,           ,           ,          ,       ,           ,0,N,0,0,40000000,0,0,-39918850,-39918850,-39918850,-39918850,GBP,GBP,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,4,        ,    ,               ,        , , ,0,0,0,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57
